Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Latin America & Caribbean (excluding high income),LAC,CO2 emissions (kt),EN.ATM.CO2E.KT,264863.743,268211.714,280866.531,286198.349,308556.048,317375.183,335724.851,361313.177,385559.381,417715.304,457245.564,478477.494,503196.741,552008.178,588912.866,602066.395,627929.746,657053.06,716979.174,767037.391,808008.782,805141.188,831440.912,798892.62,803032.663,825672.721,861726.665,905576.651,924524.04,976060.058,934809.975,954003.053,959855.585,998274.744,1033118.578,1052608.683,1094053.117,1152527.099,1226912.194,1242782.97,1237073.451,1270197.462,1284157.731,1313743.087,1316618.015,1383617.772,1415337.322,1431736.146,1516425.511,1485883.068,1562391.356,1577180.367,1650282.012,1683343.684,1714043.808,1691612.769,1657513.336,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (kt),EN.ATM.CO2E.KT,272601.113,280400.822,295981.905,297430.37,321493.224,332952.599,350821.89,376630.236,402717.274,435848.619,480670.36,502936.384,528114.006,576038.029,611178.89,618010.511,650683.481,676550.499,733675.025,786828.19,827968.263000001,823083.819,844455.095000001,812640.203,816695.905,841580.167000001,874033.117,918909.863000001,939771.426,996606.259000001,959338.538,981457.882000001,1000100.91,1039792.518,1076077.483,1093646.08,1146637.897,1214319.716,1291282.712,1314384.812,1305257.649,1337061.54,1352910.314,1387200.431,1396870.31,1470822.699,1511086.359,1536883.704,1621188.034,1586769.572,1664829.001,1692635.862,1766397.567,1805124.754,1830401.385,1810478.574,1777196.882,..,..,..,..
Least developed countries: UN classification,LDC,CO2 emissions (kt),EN.ATM.CO2E.KT,33714.1820095407,34841.6615688238,37596.1106103873,40698.4765674446,42980.8711407565,47327.9008768609,49112.1870185421,52476.5105643039,58118.4002218011,63529.0648933355,67679.5533913714,68153.5376234012,48411.9016828446,51729.7913070529,51999.5384309723,50820.3581464104,48700.9164584724,50284.7174289133,53093.9410480166,56997.5672841641,59737.4273571166,58727.8024075898,58053.4345977914,60176.7298160711,62041.8385014565,63764.3665641988,64750.8703316753,68022.5175917832,70843.3018019115,70215.1763562135,69849.0909737515,75473.2055842662,76132.8705017193,76185.6436951156,76773.6878501024,92329.3117780984,94629.4232374469,96589.745503937,97302.929414222,105719.24634502,111279.093687503,120565.420309905,127704.727307103,132944.182464542,154129.481218569,159659.810043111,173509.871576724,183973.865293288,194997.231446589,212568.984259294,232773.516674241,246463.22477599,252616.321580099,271433.463001687,304868.848922089,308726.492738066,329491.002432142,..,..,..,..
Low & middle income,LMY,CO2 emissions (kt),EN.ATM.CO2E.KT,3433219.5917646,3260262.64867176,3275259.78191256,3454006.46890973,3653953.75036029,3917421.3370884,4173792.05370412,4244454.96509257,4481471.7396962,4805850.94291266,5302890.92263988,5740513.9074274,5996183.46197834,6331891.92980028,6565586.13489741,6979962.80373734,7321876.21901311,7698195.02739188,8126786.58954321,8350202.92137663,8532524.74837554,8482842.69819424,8836732.80876077,9081422.63942803,9397921.67717902,10055782.013047,10326056.1034417,10643349.3404904,11146387.5309225,11248091.7586273,10891037.5920354,11050392.6157121,9665306.14483056,9724612.79177788,9645141.58995726,9999281.59198031,10263185.4505148,10269134.8433085,10164589.1937324,10365180.3071459,10640754.4120155,10863207.8851933,11309493.4392968,12369974.0839814,13367216.6127806,14271909.4438852,15210105.3592152,15626291.3877109,16980955.2532272,16947335.2373318,18528063.0413336,19926212.4746085,20601078.4315736,20759874.3998541,21100455.4667057,21111363.0128842,21122439.3270157,..,..,..,..
Low income,LIC,CO2 emissions (kt),EN.ATM.CO2E.KT,39597.4525442022,43121.9165391352,47665.886503224,50800.9101710765,55447.7472828172,65768.8471727035,71733.8183461384,77615.7779923088,90031.9307131564,99740.3264732333,110231.402347518,151128.414779829,130158.121820868,139459.365804362,146827.627081554,153539.70200037,157575.643397372,163781.743292861,158812.9104466,171561.109276506,174624.629925553,180075.720215922,179478.827805592,194582.972837861,209940.105381794,218043.611614757,233428.414667778,259802.362758671,290034.370402428,300446.387679319,206410.139008118,210659.538618086,194329.985326198,183902.355923578,173064.459134626,165832.004906059,159113.993028478,156371.561378001,154646.66643646,164761.510896287,169921.065063528,173828.557332414,162348.171043867,184934.459850758,188872.213434407,192972.621584913,201797.577502929,207668.272567122,222068.875730383,206351.905374893,205307.890015539,190135.623325799,177906.269496847,170766.745821712,178942.288705226,164565.645342573,168202.973650252,..,..,..,..
Lower middle income,LMC,CO2 emissions (kt),EN.ATM.CO2E.KT,357866.358089535,380388.372567801,417582.648079871,454727.340739963,469236.015440751,516078.021232802,540744.114863429,538785.816814832,583046.979190985,604920.684863427,685561.464383109,729193.652586814,746691.254034346,809404.591726774,832849.564443518,861625.412627178,907010.383013883,947191.403540026,1002295.24892764,1054044.63186158,1133778.08895859,1150350.94670267,1175173.96885984,1250332.06005157,1314888.84107439,1401875.18996312,1489592.87210752,1566376.81987589,1670159.65733895,1706786.76088714,1776734.85814182,1867326.62427946,1976698.94828625,1934419.14766031,1872453.51393868,1956910.43200751,2026639.64781996,2018329.64450498,2072891.08727649,2138377.28727454,2237030.15540174,2252498.64347879,2306498.996,2425049.439,2524293.127,2640041.982,2738801.626,2888209.874,3078791.198,3200253.239,3316893.175,3499128.407,3714344.637,3736262.296,3982717.699,4101458.826,4229048.424,..,..,..,..
Middle East & North Africa,MEA,CO2 emissions (kt),EN.ATM.CO2E.KT,98736.8488685811,104969.846466129,114649.713759848,133183.521103794,154797.119369026,184506.361874252,210974.529369333,225227.184255396,260706.494615603,302623.908676596,321916.196619204,362299.33055082,389541.97916384,459854.5871982,466769.859360277,460750.195694775,544049.126929467,572804.032512114,603900.734081705,635423.216739833,644621.556462849,625380.655892996,631033.266895967,673864.642086661,721467.701890254,762959.334862711,814434.800256002,825717.999102192,881664.165925105,910943.95681517,896907.863,1003859.585,1070969.352,1173891.041,1228507.339,1186410.179,1211573.133,1188328.02,1267953.258,1353669.383,1473950.65,1497085.753,1516011.14,1616164.244,1748161.576,1834094.054,1942464.905,1928724.656,2086633.01,2184453.902,2268890.244,2302443.294,2513149.114,2492353.557,2630361.102,2648171.721,2608736.803,..,..,..,..
Middle East & North Africa (excluding high income),MNA,CO2 emissions (kt),EN.ATM.CO2E.KT,80709.4452296802,82130.8129340664,84044.3337970772,93244.6596355459,104880.041773777,123897.721291378,148446.614666358,151491.353237252,185163.443970618,195832.883715429,208717.012674051,222974.763135103,233772.750346719,269608.111307174,278896.583980023,285239.483270655,338722.575031047,352025.401452977,374756.266368858,390876.118706199,364387.994974847,337988.018077876,361541.586781309,403885.12234686,436275.411196942,453871.723010157,464655.019082709,494198.899739253,531073.658788445,546760.122523415,547127.401,583969.75,602715.454,638039.665,680455.854,710008.207,711020.299,714936.655,800531.769,866636.778,873277.715,898961.383,902342.357,966001.477,1025139.186,1088453.608,1124610.228,1130037.388,1208415.846,1254418.361,1281517.491,1309287.682,1368451.06,1388912.92,1449950.135,1440360.93,1475311.107,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (kt),EN.ATM.CO2E.KT,80582.325,82001.454,83911.961,93097.796,104714.852,123702.578,148212.806,151252.749,184871.805,195524.44,208388.276,222623.57,233404.55,269183.469,278457.312,284790.221,338189.075,351470.949,374166.012,390260.475,363814.071,337455.675,360972.146,403248.989,435588.262,453156.859,463923.171,493420.519,530237.199,545898.956,546265.656,583086.003,601798.704,637104.58,679487.766,709062.121,709982.538,714071.243,799068.636,865268.986999999,871616.564,897611.927,901187.252,964721.694,1022942.653,1085710.692,1122344.022,1127712.51,1206362.326,1252328.171,1279482.306,1307039.811,1366250.86,1386474.365,1447111.877,1437353.99,1472076.813,..,..,..,..
Middle income,MIC,CO2 emissions (kt),EN.ATM.CO2E.KT,3395892.68861418,3218906.09479559,3229059.68662274,3404712.99418419,3599978.09950425,3852749.6328817,4103100.81417092,4167544.28365578,4391569.35057919,4706006.69102741,5192531.49031916,5586827.36559125,5865460.92024881,6191683.31265773,6417812.61692481,6825611.87578158,7163714.76605204,7533941.36554215,7968547.24721435,8178593.42852598,8357902.59675222,8302277.365626,8657360.90303693,8886178.52618998,9186644.95205693,9836809.77022465,10090949.4856691,10380356.3718153,10851645.8960074,10942304.3460336,10685884.663939,10840915.5102824,9471246.7300551,9540632.38374497,9471718.3152339,9832724.13812222,10103038.2363129,10111655.7186036,10008842.7811073,10199481.0896364,10469890.9785665,10688426.4978289,11145668.8555249,12183616.4219625,13176520.8904326,14076763.9032362,15005890.9834412,15416150.7054791,16756091.0658309,16737726.5545406,18318574.3428216,19730643.178098,20416983.7842577,20582675.0937905,20915099.1507968,20940045.9899158,20947563.41167,..,..,..,..
North America,NAC,CO2 emissions (kt),EN.ATM.CO2E.KT,3083748.982,3074863.841,3194551.054,3330490.411,3493998.274,3643256.175,3821399.035,3977818.587,4135118.219,4332347.814,4670617.563,4709608.774,4946342.96,5152241.343,4988902.162,4803931.348,5012888.009,5150899.221,5307183.094,5344326.137,5166880.007,4966192.431,4721955.563,4751016.538,4901231.526,4915085.452,4900938.166,5120294.439,5349225.249,5419136.604,5259086.722,5248166.396,5350974.408,5474794.33,5551735.324,5601089.477,5732060.049,5864534.091,5908065.048,6020572.275,6228582.85,6124249.366,6161201.725,6229363.921,6310015.919,6351735.378,6269931.942,6361606.942,6176551.787,5796173.877,5923404.109,5793265.946,5600088.386,5690058.231,5766676.529,5676901.035,5551808.664,..,..,..,..
Not classified,INX,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,CO2 emissions (kt),EN.ATM.CO2E.KT,5762340.65510904,5882879.08825199,6144838.97842216,6486303.20252267,6811472.37078239,7102043.68020425,7422203.70331843,7743578.18856178,8155010.96987475,8651186.21975595,9385600.50185691,9561529.85756428,10026787.4368778,10530343.5087898,10303284.0707152,9991862.45019371,10510891.6692328,10726362.6033543,11013171.9425444,11305922.7412419,11054933.9012149,10645234.897487,10295175.3892266,10234791.6779089,10496056.4214058,10607795.115485,10608531.153139,10945530.0821383,11301351.1295907,11638076.0890188,11371213.3702531,11461676.4870324,11545413.821,11655805.189,11808180.04,11939062.604,12291530.977,12429047.144,12421588.466,12555444.967,12879277.737,12827254.008,12892508.273,13094200.607,13236868.909,13272160.117,13279765.475,13376456.931,13134214.911,12342340.929,12710023.685,12512170.7,12322091.755,12366550.463,12201861.826,12115686.6263473,12004051.8897058,..,..,..,..
Other small states,OSS,CO2 emissions (kt),EN.ATM.CO2E.KT,5744.84258381198,7161.37911132726,7308.38689367122,15572.3243725782,16852.5289369007,16842.045248604,16800.1104954173,19227.0843360969,22398.4000458403,21648.8163326282,36425.5749867878,39790.3547193803,47189.7990580824,57108.5072387513,50871.3470258808,50284.8130679954,51222.2200185444,54243.9172837218,62649.1583766329,65398.5363042207,62444.9188734407,54741.4237658567,57009.0059423243,51840.1754384594,55668.3568957292,58532.9468507587,59946.9126420895,60172.0997866348,65916.9904277086,72887.3180879359,71965.6218684017,79540.9504861282,92927.4204528892,97913.038411838,97193.3101049823,96316.1412310018,99648.6332351413,107531.907346171,103029.856843391,99517.4327625374,105560.151672181,113083.561629783,115501.398910626,122123.189637645,124964.30844025,136444.824076071,148805.666373895,162198.729322894,166858.468262485,163636.465229888,174058.207304433,185169.32531387,195941.285109349,191060.35603022,215553.47748168,210093.767537427,208033.012737402,..,..,..,..
Pacific island small states,PSS,CO2 emissions (kt),EN.ATM.CO2E.KT,325.761394647895,350.07194648729,435.224582119333,456.35198901833,714.106353186091,625.347371434147,629.38187060469,722.175351527176,766.554842403148,839.17582747292,968.279800930292,1093.34927521712,1133.69426692255,1222.45324867449,1299.10873291481,1274.90173789155,1008.62479263572,1460.48869973652,1343.48822379078,1553.28218065901,1553.28218065901,1904.28360849624,1625.90316572878,1516.97168812413,1371.72971798458,1452.41970139544,1452.41970139544,1315.24672959698,1456.45420056598,1597.66167153498,1746.93814084507,1622.15684507042,1661.151,1683.153,1686.82,1719.823,1782.162,1782.162,1756.493,1793.163,1877.504,2141.528,1976.513,2148.862,2434.888,2178.198,2310.21,2346.88,2035.185,1994.848,2390.884,2284.541,2240.537,2552.232,2937.267,3465.315,3369.973,..,..,..,..
Post-demographic dividend,PST,CO2 emissions (kt),EN.ATM.CO2E.KT,5834395.44569986,5949795.46202231,6219141.0817619,6564657.20083993,6894495.5424554,7196840.77935399,7519392.6371488,7852023.69247894,8267625.08854696,8774759.10146704,9532838.38960482,9685381.0599157,10157345.293528,10666596.8586054,10399728.2926315,10031361.9005852,10530652.640608,10721819.8130009,10995155.0237614,11268797.1261389,10934057.2869834,10538973.7875946,10135507.7628958,10096813.1141585,10355570.9731118,10437541.7240114,10413099.9988007,10725445.5182474,11127223.6390527,11431642.586449,11224416.2141553,11289350.0961458,11361656.784,11377212.198,11405228.078,11522627.083,11793897.075,11826485.704,11804054.665,11960738.241,12260090.119,12210578.285,12270178.036,12444950.923,12569936.951,12563127.332,12504018.959,12560523.762,12306573.011,11526356.422,11902594.289,11636073.062,11439910.564,11458421.58,11273736.792,11131187.4172937,10949758.4701925,..,..,..,..
Small states,SST,CO2 emissions (kt),EN.ATM.CO2E.KT,13020.1621786872,18072.8327095122,22097.9100647175,22102.606751235,29510.829659784,31015.1930583532,30776.1820511039,35954.7538748392,38841.631923184,39333.7134086973,60479.157814755,68872.0116537621,76200.615969076,91676.8168027266,84669.4328901536,86800.6893608894,91395.7719933988,99527.335143283,104974.920364087,108230.356072134,107265.435560108,92772.891559105,93269.4040555841,84711.5896115527,88299.5950106376,94880.7276290634,90936.7321381634,92697.9462766175,95325.7152438324,105246.597013104,106581.559857411,114176.79481921,128521.306369341,132776.411227538,131759.21015373,131751.758131212,139337.917055283,145448.575520644,141957.302970618,142460.314490632,150277.486112784,161112.726855023,164495.945078528,175298.063847035,180025.386671296,195592.051278428,213653.388192007,228484.751110233,233073.744950836,227468.248461753,241997.606969923,251503.379925459,261023.884803436,258979.830564644,282285.731867483,276915.946137467,273210.867643369,..,..,..,..
South Asia,SAS,CO2 emissions (kt),EN.ATM.CO2E.KT,151649.509547476,162628.82549237,179024.457285831,194459.307256458,191987.677681689,209773.142722683,216370.266765724,219835.682119072,241537.616575278,244379.623875643,249322.883025182,257320.724,245637.662,254691.485,263356.606,285677.635,297283.69,314921.96,321225.533,338423.763,359501.679,387715.577,402746.61,435192.226,447627.023,492357.089,526174.163,562132.765,606881.166,660778.732,709443.489,749285.444,795669.327,826109.094000001,876152.643000001,927259.622,1009767.122,1048035.934,1069253.196,1135321.535,1180858.341,1197433.181,1217722.692,1269654.746,1340464.516,1416210.068,1510701.324,1629457.119,1798175.789,1977506.757,1977587.431,2106042.441,2286205.818,2307899.79,2525679.253,2645135.445,2736913.121,..,..,..,..
South Asia (IDA & IBRD),TSA,CO2 emissions (kt),EN.ATM.CO2E.KT,151649.509547476,162628.82549237,179024.457285831,194459.307256458,191987.677681689,209773.142722683,216370.266765724,219835.682119072,241537.616575278,244379.623875643,249322.883025181,257320.724,245637.662,254691.485,263356.606,285677.635,297283.69,314921.96,321225.533,338423.763,359501.679,387715.577,402746.61,435192.226,447627.023,492357.089,526174.163,562132.765,606881.166,660778.732,709443.489,749285.444,795669.327,826109.094,876152.643,927259.622,1009767.122,1048035.934,1069253.196,1135321.535,1180858.341,1197433.181,1217722.692,1269654.746,1340464.516,1416210.068,1510701.324,1629457.119,1798175.789,1977506.757,1977587.431,2106042.441,2286205.818,2307899.79,2525679.253,2645135.445,2736913.121,..,..,..,..
Sub-Saharan Africa,SSF,CO2 emissions (kt),EN.ATM.CO2E.KT,126045.06644797,131835.094743418,136458.613307018,143059.676011165,157030.700281681,174297.453428916,177843.836133509,184895.667429632,188959.308472042,205124.561849539,226183.302379754,260337.237807625,274481.834512935,291665.321644957,309574.399939981,300595.674420369,316190.302954432,318809.873101886,324168.084767133,365586.31674343,378371.605133561,403997.996618671,426316.436596554,433118.38862716,464739.279412765,476493.856253401,482536.728298096,475076.162750304,505737.040612552,481338.572634062,438428.227548207,453753.322182437,437074.813674146,458273.353723479,466571.820162242,497193.337857916,507500.471851962,531942.892336406,520099.314158621,523431.361786007,568106.715918965,576070.309748416,573623.105879858,626728.540510102,687638.371138711,666453.952778822,699333.858310835,724727.763506654,757644.691790083,747381.985097735,768840.371818098,807425.483343224,791616.76848885,806537.522307515,867107.577690299,831481.829347936,853107.127983807,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (kt),EN.ATM.CO2E.KT,125874.239972395,131657.406776583,136211.000762082,142860.325299731,156728.467616587,174000.903459306,177577.462572612,184403.070703521,188325.748440695,204559.828411809,225673.064467777,259931.364819474,273768.666362941,290961.544031929,308850.323892281,299971.05849873,315515.355040584,318109.172299304,323486.598323478,364835.096977186,377718.591022648,403392.544061252,425769.334845587,432460.415808539,464055.119576875,475677.05831286,481612.694650963,473980.098958518,504726.323049683,480086.919792893,436840.50607183,452085.553317233,435216.246598833,456339.036457704,464771.835639424,495192.591676974,505341.483144711,529630.69439183,517519.412381262,520514.834926829,564864.861194815,572592.236785171,570218.855015445,623140.455069572,683837.564821709,662491.939388838,694993.569926522,720423.189262682,753209.921822628,743175.811688528,764510.329250403,803213.854428168,787259.249052583,802170.176163309,862445.954149086,826809.799395859,848185.578146809,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (kt),EN.ATM.CO2E.KT,126045.06644797,131835.094743417,136458.613307018,143059.676011165,157030.700281681,174297.453428916,177843.836133509,184895.667429632,188959.308472042,205124.561849539,226183.302379754,260337.237807625,274481.834512934,291665.321644957,309574.399939981,300595.674420369,316190.302954432,318809.873101886,324168.084767133,365586.316743429,378371.605133561,403997.99661867,426316.436596554,433118.38862716,464739.279412764,476493.8562534,482536.728298096,475076.162750304,505737.040612552,481338.572634062,438428.227548207,453753.322182437,437074.813674146,458273.353723479,466571.820162242,497193.337857916,507500.471851962,531942.892336406,520099.314158621,523431.361786006,568106.715918964,576070.309748416,573623.105879858,626728.540510102,687638.371138711,666453.952778822,699333.858310835,724727.763506654,757644.691790083,747381.985097735,768840.371818098,807425.483343224,791616.76848885,806537.522307515,867107.577690299,831481.829347936,853107.127983807,..,..,..,..
Upper middle income,UMC,CO2 emissions (kt),EN.ATM.CO2E.KT,2914347.85890657,2736322.15612256,2722104.40105722,2861019.4424323,3032449.11678422,3236302.68927211,3452385.74031231,3513430.56325379,3692308.38454338,3969649.28815145,4368231.66412996,4705433.89275509,4952425.75751227,5214040.44898358,5408456.50581888,5767878.86128754,6051822.08816099,6368954.35537685,6736053.6242541,6897079.44723009,7011333.69498919,6948928.20001988,7262040.54186918,7425196.64914149,7661721.3255673,8207926.21914279,8386369.08872663,8604656.16459342,8974004.06689455,9034176.70832365,8750710.82293142,8835270.28344009,7493139.84369774,7605117.23818829,7598449.19493558,7874892.6960697,8075361.8105855,8092345.40526401,7934554.7180272,8059532.58401434,8231009.7250735,8434215.39273837,8837624.63337357,9757431.04223808,10651564.7469642,11436339.5918843,12267101.9825268,12527912.2692003,13677302.5127903,13537474.4736473,15001684.641788,16231519.3858962,16702642.8111643,16846416.5892105,16932383.0920987,16838587.4511451,16718513.7758232,..,..,..,..
World,WLD,CO2 emissions (kt),EN.ATM.CO2E.KT,9213447.53248784,9174599.22452308,9475006.61387524,10002664.716338,10533974.4937643,11100889.8088247,11671138.5523959,12084923.7168921,12741086.0799622,13606233.2394391,14868220.2892145,15492671.3192907,16238823.3902386,17116849.9537957,17098937.4829466,17175195.2093653,18089266.7287467,18675683.2483335,19394075.0340228,19918489.0820914,19856785.4976881,19353115.045641,19291681.2898832,19504737.9883434,20090639.7578988,20862411.9520812,21154325.0343763,21773897.267676,22673248.5966448,23072852.3669505,22421693.5772915,22706192.9205122,21543190.6184573,21779484.7994672,21853093.137788,22270728.5576472,22899608.2161666,22986911.7005423,22845753.2704694,23218433.4714023,23918172.1874217,24101535.2795744,24634020.255788,25893535.0331455,27106644.1345339,28043870.8847369,29021469.9608644,29513157.3946511,30680656.0213261,29915812.3968656,31927784.1233109,33090763.411553,33683606.8460307,33848272.7990641,34103192.8807259,34040671.3149961,33819401.1605443,..,..,..,..
Pre-demographic dividend,PRE,CO2 emissions (kt),EN.ATM.CO2E.KT,29435.8720138866,31399.3657937765,32751.0762485639,35268.8023369853,38566.6107708357,56576.5607851405,67652.1385878417,59373.4615856204,57230.0422805797,71162.2677633439,84694.9359888966,103925.962854679,115882.80713123,128377.373324028,143295.422319912,129557.374195792,149781.692934643,140980.23073607,140662.825438285,176316.775829449,171383.924083876,153956.506145506,152134.226318224,154385.936842509,165013.413048337,171705.063561635,172115.823358768,169528.036636829,199562.046167215,180420.639620807,140853.268616956,136697.126305963,156335.178788905,161428.600273357,158258.281475483,170391.106624889,172985.687493236,173271.90916496,172755.223290031,176780.912516994,219227.214717077,246143.203352754,261833.354993577,271176.187844177,309602.5349641,320085.824945966,304832.675170792,274307.801400064,310865.581949867,312812.160245579,371677.579470473,428061.482852743,436353.014829896,460395.482661643,491022.594332708,475616.453516308,505151.062413133,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
